Tipos de Gentileza,2024,7.0/10,"A man seeks to break free from his predetermined path, a cop questions his wife's demeanor after her return from a supposed drowning, and a woman searches for an extraordinary individual pro... Read all"
Alerta de Risco,2024,4.5/10,A devoted daughter is attempting to figure out the cause of her father's passing.
Clube dos Vândalos,2023,7.2/10,"After a chance encounter, headstrong Kathy is drawn to Benny, member of Midwestern motorcycle club the Vandals. As the club transforms into a dangerous underworld of violence, Benny must cho... Read all"
Divertida Mente 2,2024,7.9/10,"Follows Riley, in her teenage years, encountering new emotions."
Horizon: An American Saga - Chapter 1,2024,7.1/10,"Chronicles a multi-faceted, 15-year span of pre-and post-Civil War expansion and settlement of the American west."
Assassino por Acaso,2023,6.9/10,"A professor moonlighting as a hit man of sorts for his city police department, descends into dangerous, dubious territory when he finds himself attracted to a woman who enlists his services."
Um Lugar Silencioso: Dia Um,2024,6.8/10,A woman named Sam finds herself trapped in New York City during the early stages of an invasion by alien creatures with ultra-sensitive hearing.
Furiosa: Uma Saga Mad Max,2024,7.7/10,The origin story of renegade warrior Furiosa before her encounter and teamup with Mad Max.
Amigos Imaginários,2024,6.5/10,A young girl who goes through a difficult experience begins to see everyone's imaginary friends who have been left behind as their real-life friends have grown up.
Tudo em Família,2024,5.4/10,"An unexpected romance triggers comic consequences for a young woman, her mother, and her boss, grappling with the complications of love, sex, and identity."
Bad Boys: Até o Fim,2024,7.0/10,"This Summer, the world's favorite Bad Boys are back with their iconic mix of edge-of-your seat action and outrageous comedy but this time with a twist: Miami's finest are now on the run."
Kalki 2898-AD,2024,8.0/10,"A modern-day avatar of Vishnu, a Hindu god, who is believed to have descended to earth to protect the world from evil forces."
Os Observadores,2024,5.7/10,"A young artist gets stranded in an extensive, immaculate forest in western Ireland, where, after finding shelter, she becomes trapped alongside three strangers, stalked by mysterious creatur... Read all"
Divertida Mente,2015,8.1/10,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and... Read all"
O Dublê,2024,7.0/10,A down-and-out stuntman must find the missing star of his ex-girlfriend's blockbuster film.
Longlegs: Vínculo Mortal,2024,8.3/10,"In pursuit of a serial killer, an FBI agent uncovers a series of occult clues that she must solve to end his terrifying killing spree."
Guerra Sem Regras,2024,6.9/10,The British military recruits a small group of highly skilled soldiers to strike against German forces behind enemy lines during World War II.
Mad Max: Estrada da Fúria,2015,8.1/10,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshipper and a drifter named ... Read all"
Oppenheimer,2023,8.3/10,The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.
